"day","month","year","time","speed_limit","maximum_speed","vehicles_count","hourly_count","LAT","LNG"
1,5,2016,5,0,0,0,0,-37.823926,144.94719
1,5,2016,6,0,0,0,20,-37.808527,144.971467
1,5,2016,6,0,0,0,497,-37.817321,144.967349
1,5,2016,6,0,0,0,129,-37.815058,144.966617
1,5,2016,6,0,0,0,28,-37.821407,144.968775
1,5,2016,6,0,0,0,12,-37.800473,144.964411
1,5,2016,6,0,0,0,95,-37.813076,144.968004
1,5,2016,6,0,0,0,25,-37.815372,144.974894
1,5,2016,6,0,0,0,180,-37.817768,144.967191
1,5,2016,6,0,0,0,44,-37.812618,144.965491
1,5,2016,6,0,0,0,68,-37.81296,144.963769
1,5,2016,6,0,0,0,17,-37.815329,144.973305
1,5,2016,6,0,0,0,14,-37.814334,144.972395
1,5,2016,6,0,0,0,27,-37.814457,144.973654
1,5,2016,6,0,0,0,53,-37.819493,144.954064
1,5,2016,6,0,0,0,7,-37.796674,144.964864
1,5,2016,6,0,0,0,38,-37.813911,144.969905
1,5,2016,6,0,0,0,24,-37.818121,144.95728
1,5,2016,6,0,0,0,35,-37.813887,144.964405
1,5,2016,6,0,0,0,11,-37.789285,144.968952
1,5,2016,6,0,0,0,9,-37.78881,144.965314
1,5,2016,6,0,0,0,37,-37.810551,144.970219
1,5,2016,6,0,0,0,78,-37.815961,144.966504
1,5,2016,6,0,0,0,15,-37.812161,144.956369
1,5,2016,6,0,0,0,192,-37.818271,144.967062
1,5,2016,6,0,0,0,117,-37.819031,144.954035
1,5,2016,6,0,0,0,98,-37.812227,144.962225
1,5,2016,6,0,0,0,70,-37.81083,144.963134
1,5,2016,6,0,0,0,34,-37.825394,144.953111
1,5,2016,6,0,0,0,8,-37.814252,144.942659
1,5,2016,6,0,0,0,67,-37.819261,144.968357
1,5,2016,6,0,0,0,64,-37.80758,144.956785
1,5,2016,6,0,0,0,22,-37.80758,144.956785
1,5,2016,6,0,0,0,21,-37.812646,144.959686
1,5,2016,6,0,0,0,94,-37.820034,144.963055
1,5,2016,6,0,0,0,9,-37.798933,144.963945
1,5,2016,6,0,0,0,10,-37.818285,144.952776
1,5,2016,6,0,0,0,48,-37.809809,144.96519
1,5,2016,6,0,0,0,69,-37.821222,144.968534
1,5,2016,6,0,0,0,8,-37.806426,144.960759
1,5,2016,6,0,0,0,2,-37.815423,144.939177
1,5,2016,6,0,0,0,11,-37.823926,144.94719
1,5,2016,7,0,0,0,32,-37.808527,144.971467
1,5,2016,7,0,0,0,644,-37.817321,144.967349
1,5,2016,7,0,0,0,193,-37.815058,144.966617
1,5,2016,7,0,0,0,109,-37.821407,144.968775
